"rules","support","confidence","lift","count"
"24","{cat food} => {yogurt}",0.00620233858668022,0.266375545851528,1.90947776490509,61
"33","{hard cheese} => {yogurt}",0.00640569395017794,0.261410788381743,1.87388855957321,63
"36","{butter milk} => {yogurt}",0.00854092526690392,0.305454545454545,2.18961038961039,84
"42","{ham} => {yogurt}",0.0067107269954245,0.2578125,1.84809470663265,66
"47","{sliced cheese} => {yogurt}",0.00803253685815963,0.327800829875519,2.3497967651791,79
"58","{berries} => {yogurt}",0.010574478901881,0.318042813455657,2.27984771890408,104
"75","{dessert} => {yogurt}",0.00986273512963904,0.265753424657534,1.90501817165222,97
"78","{cream cheese} => {yogurt}",0.0124046771733604,0.312820512820513,2.24241234955521,122
"91","{frozen vegetables} => {yogurt}",0.0124046771733604,0.257928118393235,1.84892350174742,122
"98","{curd} => {yogurt}",0.0172852058973055,0.324427480916031,2.32561536064808,170
"114","{butter} => {yogurt}",0.0146415861718353,0.264220183486239,1.89402733570492,144
"121","{fruit/vegetable juice} => {yogurt}",0.0187086934417895,0.258790436005626,1.85510491116278,184
"124","{whipped/sour cream} => {yogurt}",0.0207422470767667,0.28936170212766,2.07425097698654,204
"132","{citrus fruit} => {yogurt}",0.0216573462125064,0.261670761670762,1.87575214360929,213
"141","{tropical fruit} => {yogurt}",0.0292831723436706,0.27906976744186,2.00047460844803,288
"146","{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294,427
"147","{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453,551
"157","{cream cheese,yogurt} => {whole milk}",0.00660904931367565,0.532786885245902,2.08514087401251,65
"158","{cream cheese,whole milk} => {yogurt}",0.00660904931367565,0.401234567901235,2.8761967750063,65
"169","{frozen vegetables,yogurt} => {whole milk}",0.00610066090493137,0.491803278688525,1.9247454221654,60
"170","{frozen vegetables,whole milk} => {yogurt}",0.00610066090493137,0.298507462686567,2.13981114833993,60
"177","{beef,yogurt} => {whole milk}",0.00610066090493137,0.521739130434783,2.04190383916677,60
"178","{beef,whole milk} => {yogurt}",0.00610066090493137,0.287081339712919,2.05790450151352,60
"185","{curd,yogurt} => {other vegetables}",0.00610066090493137,0.352941176470588,1.82405489783932,60
"186","{curd,other vegetables} => {yogurt}",0.00610066090493137,0.355029585798817,2.54498249003743,60
"187","{curd,yogurt} => {whole milk}",0.0100660904931368,0.582352941176471,2.27912502048173,99
"188","{curd,whole milk} => {yogurt}",0.0100660904931368,0.385214007782101,2.76135551496863,99
"191","{napkins,yogurt} => {whole milk}",0.00610066090493137,0.495867768595041,1.94065240912544,60
"192","{napkins,whole milk} => {yogurt}",0.00610066090493137,0.309278350515464,2.21702082895014,60
"203","{frankfurter,yogurt} => {whole milk}",0.00620233858668022,0.554545454545455,2.17029627753862,61
"204","{frankfurter,whole milk} => {yogurt}",0.00620233858668022,0.301980198019802,2.16470499090725,61
"211","{brown bread,yogurt} => {whole milk}",0.00711743772241993,0.48951048951049,1.91577225003409,70
"212","{brown bread,whole milk} => {yogurt}",0.00711743772241993,0.282258064516129,2.02332949308756,70
"215","{margarine,yogurt} => {whole milk}",0.00701576004067107,0.492857142857143,1.92886987664146,69
"216","{margarine,whole milk} => {yogurt}",0.00701576004067107,0.289915966386555,2.07822414680158,69
"227","{butter,yogurt} => {other vegetables}",0.00640569395017794,0.4375,2.26106805044666,63
"228","{butter,other vegetables} => {yogurt}",0.00640569395017794,0.319796954314721,2.29242204496012,63
"229","{butter,yogurt} => {whole milk}",0.00935434672089476,0.638888888888889,2.50038687712782,92
"230","{butter,whole milk} => {yogurt}",0.00935434672089476,0.339483394833948,2.4335416823556,92
"234","{newspapers,yogurt} => {whole milk}",0.00660904931367565,0.43046357615894,1.68468335516243,65
"244","{domestic eggs,yogurt} => {whole milk}",0.00772750381291307,0.539007092198582,2.1094845808886,76
"245","{domestic eggs,whole milk} => {yogurt}",0.00772750381291307,0.257627118644068,1.84676582497406,76
"255","{fruit/vegetable juice,yogurt} => {other vegetables}",0.00823589222165735,0.440217391304348,2.27511195138111,81
"256","{fruit/vegetable juice,other vegetables} => {yogurt}",0.00823589222165735,0.391304347826087,2.8050133096717,81
"257","{fruit/vegetable juice,yogurt} => {whole milk}",0.00945602440264362,0.505434782608696,1.97809434419281,93
"258","{fruit/vegetable juice,whole milk} => {yogurt}",0.00945602440264362,0.354961832061069,2.54449680635613,93
"262","{tropical fruit,whipped/sour cream} => {yogurt}",0.00620233858668022,0.448529411764706,3.21522358943577,61
"263","{whipped/sour cream,yogurt} => {tropical fruit}",0.00620233858668022,0.299019607843137,2.84966845265238,61
"267","{root vegetables,whipped/sour cream} => {yogurt}",0.00640569395017794,0.375,2.68813775510204,63
"268","{whipped/sour cream,yogurt} => {root vegetables}",0.00640569395017794,0.308823529411765,2.8332830333626,63
"273","{whipped/sour cream,yogurt} => {other vegetables}",0.0101677681748856,0.490196078431373,2.5334095803324,100
"274","{other vegetables,whipped/sour cream} => {yogurt}",0.0101677681748856,0.352112676056338,2.52407300948548,100
"275","{whipped/sour cream,yogurt} => {whole milk}",0.0108795119471276,0.524509803921569,2.05274728275711,107
"276","{whipped/sour cream,whole milk} => {yogurt}",0.0108795119471276,0.337539432176656,2.4196066439194,107
"281","{pip fruit,tropical fruit} => {yogurt}",0.00640569395017794,0.313432835820896,2.24680170575693,63
"282","{pip fruit,yogurt} => {tropical fruit}",0.00640569395017794,0.355932203389831,3.39204769412692,63
"292","{pip fruit,yogurt} => {other vegetables}",0.00813421453990849,0.451977401129944,2.33588951135733,80
"293","{other vegetables,pip fruit} => {yogurt}",0.00813421453990849,0.311284046692607,2.23139839593425,80
"294","{pip fruit,yogurt} => {whole milk}",0.00955770208439248,0.531073446327684,2.07843507546071,94
"295","{pip fruit,whole milk} => {yogurt}",0.00955770208439248,0.317567567567568,2.27644098179812,94
"301","{pastry,yogurt} => {other vegetables}",0.00660904931367565,0.373563218390805,1.93063281811538,65
"302","{other vegetables,pastry} => {yogurt}",0.00660904931367565,0.292792792792793,2.09884629527487,65
"303","{pastry,yogurt} => {whole milk}",0.00915099135739705,0.517241379310345,2.02430121986361,90
"304","{pastry,whole milk} => {yogurt}",0.00915099135739705,0.275229357798165,1.9729451413593,90
"311","{citrus fruit,tropical fruit} => {yogurt}",0.00630401626842908,0.316326530612245,2.26754477301125,62
"312","{citrus fruit,yogurt} => {tropical fruit}",0.00630401626842908,0.291079812206573,2.7740018924919,62
"322","{citrus fruit,yogurt} => {other vegetables}",0.00762582613116421,0.352112676056338,1.81977307883031,75
"323","{citrus fruit,other vegetables} => {yogurt}",0.00762582613116421,0.264084507042254,1.89305475711411,75
"324","{citrus fruit,yogurt} => {whole milk}",0.0102694458566345,0.474178403755869,1.85576784756823,101
"325","{citrus fruit,whole milk} => {yogurt}",0.0102694458566345,0.336666666666667,2.41335034013605,101
"348","{sausage,yogurt} => {other vegetables}",0.00813421453990849,0.414507772020725,2.14224063994947,80
"349","{other vegetables,sausage} => {yogurt}",0.00813421453990849,0.30188679245283,2.16403542549095,80
"350","{sausage,yogurt} => {whole milk}",0.00874428063040163,0.44559585492228,1.74390578319165,86
"351","{sausage,whole milk} => {yogurt}",0.00874428063040163,0.292517006802721,2.09686935998889,86
"358","{bottled water,tropical fruit} => {yogurt}",0.00711743772241993,0.384615384615385,2.75706436420722,70
"359","{bottled water,yogurt} => {tropical fruit}",0.00711743772241993,0.309734513274336,2.95178191671812,70
"366","{bottled water,soda} => {yogurt}",0.0074224707676665,0.256140350877193,1.83610812746151,73
"367","{bottled water,yogurt} => {soda}",0.0074224707676665,0.323008849557522,1.85235687195232,73
"368","{soda,yogurt} => {bottled water}",0.0074224707676665,0.271375464684015,2.4553612651033,73
"371","{bottled water,yogurt} => {rolls/buns}",0.00711743772241993,0.309734513274336,1.68393528913936,70
"372","{bottled water,rolls/buns} => {yogurt}",0.00711743772241993,0.294117647058824,2.10834333733493,70
"373","{bottled water,yogurt} => {other vegetables}",0.00813421453990849,0.353982300884956,1.82943559075331,80
"374","{bottled water,other vegetables} => {yogurt}",0.00813421453990849,0.327868852459016,2.3502843760455,80
"375","{bottled water,yogurt} => {whole milk}",0.00965937976614133,0.420353982300885,1.645117953016,95
"376","{bottled water,whole milk} => {yogurt}",0.00965937976614133,0.281065088757396,2.01477780461297,95
"383","{root vegetables,tropical fruit} => {yogurt}",0.00813421453990849,0.386473429951691,2.77038351572513,80
"384","{tropical fruit,yogurt} => {root vegetables}",0.00813421453990849,0.277777777777778,2.54845563847429,80
"385","{root vegetables,yogurt} => {tropical fruit}",0.00813421453990849,0.31496062992126,3.00158701092596,80
"391","{soda,tropical fruit} => {yogurt}",0.00660904931367565,0.317073170731707,2.27289696366351,65
"394","{tropical fruit,yogurt} => {rolls/buns}",0.00874428063040163,0.298611111111111,1.623460628954,86
"395","{rolls/buns,tropical fruit} => {yogurt}",0.00874428063040163,0.355371900826446,2.54743632990386,86
"396","{rolls/buns,yogurt} => {tropical fruit}",0.00874428063040163,0.254437869822485,2.42480276134122,86
"397","{tropical fruit,yogurt} => {other vegetables}",0.0123029994916116,0.420138888888889,2.17134312780989,121
"398","{other vegetables,tropical fruit} => {yogurt}",0.0123029994916116,0.342776203966006,2.45714574781754,121
"399","{other vegetables,yogurt} => {tropical fruit}",0.0123029994916116,0.283372365339578,2.7005496251112,121
"400","{tropical fruit,yogurt} => {whole milk}",0.0151499745805796,0.517361111111111,2.02476980810894,149
"401","{tropical fruit,whole milk} => {yogurt}",0.0151499745805796,0.358173076923077,2.56751618916797,149
"402","{whole milk,yogurt} => {tropical fruit}",0.0151499745805796,0.270417422867514,2.57708852122286,149
"411","{root vegetables,yogurt} => {rolls/buns}",0.00721911540416879,0.279527559055118,1.51970897916367,71
"412","{rolls/buns,root vegetables} => {yogurt}",0.00721911540416879,0.297071129707113,2.12951498591068,71
"413","{root vegetables,yogurt} => {other vegetables}",0.0129130655821047,0.5,2.58407777193904,127
"414","{other vegetables,root vegetables} => {yogurt}",0.0129130655821047,0.272532188841202,1.95361084347902,127
"415","{other vegetables,yogurt} => {root vegetables}",0.0129130655821047,0.297423887587822,2.72869770002447,127
"416","{root vegetables,yogurt} => {whole milk}",0.0145399084900864,0.562992125984252,2.20335358498015,143
"417","{root vegetables,whole milk} => {yogurt}",0.0145399084900864,0.297297297297297,2.1311362382791,143
"418","{whole milk,yogurt} => {root vegetables}",0.0145399084900864,0.259528130671506,2.38102534062898,143
"427","{soda,yogurt} => {rolls/buns}",0.00864260294865277,0.315985130111524,1.71791805121439,85
"428","{rolls/buns,yogurt} => {soda}",0.00864260294865277,0.251479289940828,1.44215674435455,85
"429","{soda,yogurt} => {other vegetables}",0.0083375699034062,0.304832713754647,1.57542287954648,82
"430","{other vegetables,soda} => {yogurt}",0.0083375699034062,0.254658385093168,1.82548485232602,82
"431","{soda,yogurt} => {whole milk}",0.0104728012201322,0.382899628252788,1.49853475681105,103
"432","{soda,whole milk} => {yogurt}",0.0104728012201322,0.261421319796954,1.87396405262613,103
"437","{rolls/buns,yogurt} => {other vegetables}",0.0114895780376207,0.334319526627219,1.72781531496516,113
"438","{other vegetables,yogurt} => {rolls/buns}",0.0114895780376207,0.26463700234192,1.4387534096367,113
"439","{other vegetables,rolls/buns} => {yogurt}",0.0114895780376207,0.269689737470167,1.93323510788564,113
"440","{rolls/buns,yogurt} => {whole milk}",0.015556685307575,0.452662721893491,1.77156302022383,153
"441","{whole milk,yogurt} => {rolls/buns}",0.015556685307575,0.277676950998185,1.50964776841744,153
"442","{rolls/buns,whole milk} => {yogurt}",0.015556685307575,0.274685816876122,1.969048840362,153
"443","{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,2.00723451168677,219
"444","{whole milk,yogurt} => {other vegetables}",0.0222674123029995,0.397459165154265,2.05413078785717,219
"445","{other vegetables,whole milk} => {yogurt}",0.0222674123029995,0.297554347826087,2.13297887089618,219
"452","{other vegetables,tropical fruit,yogurt} => {whole milk}",0.00762582613116421,0.619834710743802,2.4258155114068,75
"453","{tropical fruit,whole milk,yogurt} => {other vegetables}",0.00762582613116421,0.503355704697987,2.60142057577756,75
"454","{other vegetables,tropical fruit,whole milk} => {yogurt}",0.00762582613116421,0.446428571428571,3.2001639941691,75
"455","{other vegetables,whole milk,yogurt} => {tropical fruit}",0.00762582613116421,0.342465753424658,3.2637119040034,75
"456","{other vegetables,root vegetables,yogurt} => {whole milk}",0.00782918149466192,0.606299212598425,2.37284232228632,77
"457","{root vegetables,whole milk,yogurt} => {other vegetables}",0.00782918149466192,0.538461538461538,2.78285298516512,77
"458","{other vegetables,root vegetables,whole milk} => {yogurt}",0.00782918149466192,0.337719298245614,2.42089598997494,77
"459","{other vegetables,whole milk,yogurt} => {root vegetables}",0.00782918149466192,0.351598173515982,3.22571645198664,77
